,keyterm,svo
0,Google,"['Google', 'perfect', 'Valley']"
1,Google,"['Google', 'acquire', 'that']"
2,Google,"['Google', 'have', 'acquisition']"
3,Google,"['startup', 'join', 'Google']"
4,Google,"['Google', 'try', 'to']"
5,Google,"['Google', 'buy', 'occur']"
6,Google,"['Google', 'have', 'video']"
7,Google,"['Google', 'try', 'to']"
8,Google,"['Google', 'have', 'court']"
9,Google,"['Google', 'serve', 'more']"
10,Google,"['Google', 'acquire', 'that']"
11,Google,"['Google', 'hand', 'founder']"
12,Google,"['Kosta', 'join', 'Google']"
13,Google,"['Google', 'acquire', 'that']"
14,Google,"['Rubin', 'leave', 'Google']"
